actors,business,categoryid,categoryname,cityid,cityname,description,id,imgurl,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,projectid,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,tours,venue,venuecity,venueid,verticalPic,favourable
,0,1,演唱会,852,北京,Jarrod Lawson是一名作曲家、键盘演奏家以及歌手,1_1_162184,1621,0,1,0,0,Blue Note Beijing JARROD LAWSON,Blue Note Beijing JARROD LAWSON,220.0,220-320,320.0,162184,售票中,,2018.10.13-10.14,3,9,流行,Jarrod Lawson是一名作曲家、键盘演奏家以及歌手,,Blue Note Beijing,北京,61359,https://pimg.dmcdn.cn/perform/project/1621/162184_n.jpg?_t=1535696259077,
,0,1,演唱会,852,北京,将一如既往地保持着他的优雅与个性，为您献上瑞典最动人的深情之曲。,1_1_162810,1628,0,1,0,0,【MAO Live呈现】瑞典传奇音乐人Jay-Jay Johanson巡演 北京站,【MAO Live呈现】瑞典传奇音乐人Jay-Jay Johanson巡演 北京站,160.0,160,160.0,162810,售票中,,2018.11.21 20:30,3,9,流行,将一如既往地保持着他的优雅与个性，为您献上瑞典最动人的深情之曲。,,MAO Livehouse北京五棵松,北京,92428,https://pimg.dmcdn.cn/perform/project/1628/162810_n.jpg?_t=1536301835420,
,0,1,演唱会,852,北京,出色的音乐少年，将登上这个金碧辉煌的舞台，奏出华美的乐章，在金秋十月，演绎他们金色的童年！,1_1_162510,1625,0,0,0,0,金色童年—青少年艺术家交响音乐会,金色童年—青少年艺术家交响音乐会,80.0,80-899,899.0,162510,售票中,,2018.10.21 14:00,3,9,流行,出色的音乐少年，将登上这个金碧辉煌的舞台，奏出华美的乐章，在金秋十月，演绎他们金色的童年！,,中山音乐堂,北京,106,https://pimg.dmcdn.cn/perform/project/1625/162510_n.jpg?_t=1536200589316,
,0,1,演唱会,852,北京,精心打造一台充满经典爱意的难忘音乐之夜，送给最爱的人一份青春的美好回忆。,1_1_161337,1613,0,1,0,0,甜蜜蜜—邓氏经典金曲演唱会,甜蜜蜜—邓氏经典金曲演唱会,180.0,180-680,680.0,161337,售票中,,2019.03.08  19:30,3,9,流行,精心打造一台充满经典爱意的难忘音乐之夜，送给最爱的人一份青春的美好回忆。,,京演民族宫大剧院,北京,42,https://pimg.dmcdn.cn/perform/project/1613/161337_n.jpg?_t=1534923643042,
,0,1,演唱会,852,北京,走进他的世界........,1_1_155061,1550,0,1,0,0,"【万有音乐系】""For You 为你而来"" Chris Garneau 克里斯加诺2018巡回演唱会--北京","【万有音乐系】""For You 为你而来"" Chris Garneau 克里斯加诺2018巡回演唱会--北京",180.0,180-280,280.0,155061,售票中,,2018.10.30 19:30,3,9,流行,走进他的世界........,,糖果TANGO-雍和宫店三层,北京,27,https://pimg.dmcdn.cn/perform/project/1550/155061_n.jpg?_t=1529217739614,
,0,1,演唱会,852,北京,四度来华开唱，11月14日重磅重返北京登陆M空间,1_1_164327,1643,0,1,0,0,2018“Owl City Cinematic Tour”（猫头鹰之城电影之旅）北京演唱会,2018“Owl City Cinematic Tour”（猫头鹰之城电影之旅）北京演唱会,380.0,380-780,780.0,164327,售票中,,2018.11.14  19:30,3,9,流行,四度来华开唱，11月14日重磅重返北京登陆M空间,,M空间,北京,53764,https://pimg.dmcdn.cn/perform/project/1643/164327_n.jpg?_t=1538213720826,
,0,1,演唱会,852,北京,Bobby再次重温了他年轻时的音乐，,1_1_165239,1652,0,1,0,0,Blue Note Beijing THE BOBBY BROOM ORGANI–SATION,Blue Note Beijing THE BOBBY BROOM ORGANI–SATION,260.0,260-400,400.0,165239,售票中,,2018.11.01-11.02,3,9,流行,Bobby再次重温了他年轻时的音乐，,,Blue Note Beijing,北京,61359,https://pimg.dmcdn.cn/perform/project/1652/165239_n.jpg?_t=1539057270620,
,0,1,演唱会,852,北京,2018天猫双11全球潮流盛典10月20日【特权购买】,1_1_164873,1648,0,1,0,0,2018天猫双11全球潮流盛典10月20日【特权购买】,2018天猫双11全球潮流盛典10月20日【特权购买】,1088.0,1088,1088.0,164873,预售,,2018.10.20  16:00,8,9,流行,2018天猫双11全球潮流盛典10月20日【特权购买】,,国家游泳中心-水立方,北京,389,https://pimg.dmcdn.cn/perform/project/1648/164873_n.jpg?_t=1538206384866,
,0,1,演唱会,852,北京,未来有你 初音未来,1_1_164014,1640,0,1,0,0,未来有你·初音未来2018巡回演唱会 北京站10月14日 （日场）,未来有你·初音未来2018巡回演唱会 北京站10月14日 （日场）,680.0,,1480.0,164014,退票中,,2018.10.14 14:00,11,9,流行,未来有你 初音未来,,M空间,北京,53764,https://pimg.dmcdn.cn/perform/project/1640/164014_n.jpg?_t=1537435365172,
,0,1,演唱会,852,北京,未来有你 初音未来,1_1_164016,1640,0,1,0,0,未来有你·初音未来2018巡回演唱会 北京站10月14日 （夜场）,未来有你·初音未来2018巡回演唱会 北京站10月14日 （夜场）,680.0,,1480.0,164016,退票中,,2018.10.14 19:30,11,9,流行,未来有你 初音未来,,M空间,北京,53764,https://pimg.dmcdn.cn/perform/project/1640/164016_n.jpg?_t=1537435487824,
,0,1,演唱会,852,北京,未来有你 初音未来,1_1_164041,1640,0,1,0,0,Hatsune Miku With You 2018 China Festival in Beijing,Hatsune Miku With You 2018 China Festival in Beijing,680.0,680-1480,1480.0,164041,售票中,,2018.10.13-10.14,3,9,流行,未来有你 初音未来,,M空间,北京,53764,https://pimg.dmcdn.cn/perform/project/1640/164041_n.jpg?_t=1537446584935,
艺人: 辛晓琪,0,1,演唱会,852,北京,艺人: 辛晓琪,1_1_158702,1587,0,1,0,0,辛晓琪“人生若只如初见”北京演唱会,辛晓琪“人生若只如初见”北京演唱会,280.0,280-880,880.0,158702,预售,,2018.11.17 19:30,8,9,流行,人生若只如初见，辛晓琪和你相见。<br />,,北京工人体育馆,北京,2,https://pimg.dmcdn.cn/perform/project/1587/158702_n.jpg?_t=1532938479490,
